Num total points:596;
Min_size:42;
Max_size:125;
Mean:64.6088;
Variance:153.442;
Standard deviation:12.3872;
Relative min size:1;
Relative max size:2.97619;
Relative Mean:1.5383;
Relative Variance:0.0869854;
Relative standard deviation:0.294933;
Cell size:126;
Size:42; Num of dots: 1;
Size:43; Num of dots: 3;
Size:44; Num of dots: 2;
Size:45; Num of dots: 1;
Size:46; Num of dots: 3;
Size:47; Num of dots: 8;
Size:48; Num of dots: 8;
Size:49; Num of dots: 17;
Size:50; Num of dots: 18;
Size:51; Num of dots: 12;
Size:52; Num of dots: 18;
Size:53; Num of dots: 20;
Size:54; Num of dots: 19;
Size:55; Num of dots: 27;
Size:56; Num of dots: 38;
Size:57; Num of dots: 38;
Size:58; Num of dots: 32;
Size:59; Num of dots: 29;
Size:60; Num of dots: 19;
Size:61; Num of dots: 26;
Size:62; Num of dots: 22;
Size:63; Num of dots: 17;
Size:64; Num of dots: 20;
Size:65; Num of dots: 12;
Size:66; Num of dots: 18;
Size:67; Num of dots: 24;
Size:68; Num of dots: 10;
Size:69; Num of dots: 11;
Size:70; Num of dots: 14;
Size:71; Num of dots: 33;
Size:72; Num of dots: 31;
Size:73; Num of dots: 15;
Size:74; Num of dots: 11;
Size:75; Num of dots: 8;
Size:76; Num of dots: 11;
Size:77; Num of dots: 7;
Size:78; Num of dots: 10;
Size:79; Num of dots: 5;
Size:80; Num of dots: 4;
Size:81; Num of dots: 5;
Size:82; Num of dots: 7;
Size:83; Num of dots: 5;
Size:84; Num of dots: 3;
Size:85; Num of dots: 3;
Size:86; Num of dots: 5;
Size:87; Num of dots: 6;
Size:88; Num of dots: 4;
Size:89; Num of dots: 4;
Size:90; Num of dots: 4;
Size:91; Num of dots: 6;
Size:92; Num of dots: 1;
Size:93; Num of dots: 2;
Size:94; Num of dots: 2;
Size:95; Num of dots: 3;
Size:96; Num of dots: 1;
Size:97; Num of dots: 1;
Size:98; Num of dots: 1;
Size:99; Num of dots: 1;
Size:100; Num of dots: 2;
Size:101; Num of dots: 1;
Size:102; Num of dots: 1;
Size:103; Num of dots: 2;
Size:104; Num of dots: 1;
Size:105; Num of dots: 1;
Size:106; Num of dots: 1;
Size:107; Num of dots: 2;
Size:108; Num of dots: 1;
Size:109; Num of dots: 1;
Size:110; Num of dots: 1;
Size:111; Num of dots: 1;
Size:112; Num of dots: 1;
Size:113; Num of dots: 1;
Size:114; Num of dots: 1;
Size:115; Num of dots: 1;
Size:116; Num of dots: 1;
Size:117; Num of dots: 1;
Size:118; Num of dots: 1;
Size:119; Num of dots: 1;
Size:120; Num of dots: 1;
Size:121; Num of dots: 1;
Size:122; Num of dots: 1;
Size:123; Num of dots: 1;
Size:124; Num of dots: 1;
Size:125; Num of dots: 1;
